"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"613" 613 1 1 17 43 16 46 24 53 6 7 25 43 21 44 29 52 29 44 28 47 31 51 46 45 34 41 35 51 2.83 2.4 3.67 1.5 2 2.2 2.8 1 1 2 5 1 1 54 3 3 2 42 3 2 3 2 2 2 3 2 3 2 2 2 2 3 3 2 3 2 40 2 1 3 3 3 3 3 3 2
"614" 614 1 1 16 43 16 46 16 42 8 5 23 40 26 50 24 47 30 44 36 54 27 46 50 48 51 58 36 51 3.33 3 4 1.5 2.75 2.2 1.8 1 1 1 4 1 1 40 4 3 2 42 3 1 2 1 1 1 3 2 4 3 3 4 3 4 2 3 3 1 200 2 2 2 3 3 3 3 3 3
"615" 615 2 2 14 37 15 44 11 33 2 3 20 37 18 39 20 42 21 33 20 37 17 34 42 42 31 38 25 40 2.83 2.8 3.33 2 3.5 3.4 1.2 1.25 1 2 4 1 1 16 5 3 2 42 3 1 4 4 3 2 3 2 4 3 4 4 1 3 4 1 1 2 12 2 1 3 3 2 3 3 3 2
"616" 616 1 1 21 49 17 48 13 38 8 6 37 56 20 42 20 42 34 49 23 41 21 39 48 47 36 44 33 48 2.83 2.2 3.67 2 3 2.6 1.4 1 2 2 4 1 1 0 4 3 2 42 3 1 3 2 3 2 4 2 3 3 3 3 2 3 3 4 3 3 100 2 2 3 3 3 3 3 3 4
"617" 617 2 1 44 71 28 62 24 53 6 7 63 70 45 67 29 53 72 71 50 66 34 55 76 63 55 62 36 52 3.33 3 4 3.17 3.33 3.4 1.2 1 1 2 3 5 1 50 3 5 2 42 2 2 2 1 2 2 2 2 4 4 4 4 2 4 3 2 1 2 75 1 1 3 3 3 3 3 3 5
"618" 618 1 1 22 51 19 52 18 46 6 7 32 52 26 50 26 49 38 52 31 49 26 46 49 47 41 48 39 56 3.33 2.6 3.33 2.33 2.5 2 1.8 2 2 1 5 1 2 58 5 3 2 42 3 1 2 2 3 3 2 2 4 2 3 1 1 4 2 2 3 2 100 1 2 3 3 3 3 3 3 2
"619" 619 2 1 20 47 10 34 18 45 4 7 26 45 20 42 19 40 33 48 28 47 23 42 58 52 45 52 33 48 3.5 2.8 3.33 2.17 2.25 2 2.2 1.25 1 2 4 1 1 28 2 3 2 42 2 1 3 2 2 2 3 2 3 2 2 2 1 4 2 2 1 1 50 2 2 2 2 3 2 3 3 1
"620" 620 1 3 19 46 25 59 21 49 9 6 39 58 37 60 31 55 40 53 40 58 30 49 65 57 50 57 41 58 3.33 2.8 2.67 1.67 1.75 2.2 1 1.25 1 2 6 2 1 88 3 3 2 42 2 1 3 2 3 2 2 2 4 2 4 3 3 3 4 4 2 4 100 1 2 3 3 3 3 3 3 2
"621" 621 2 1 22 51 21 55 26 55 9 8 35 55 33 57 29 53 44 56 42 60 34 55 60 54 48 55 40 57 3.5 3 3.33 3.5 2 3.6 1.6 1 2 2 4 1 1 18 5 3 2 42 2 1 1 2 1 2 1 1 4 4 4 3 4 4 3 3 2 2 200 1 1 3 3 3 3 3 3 7
"622" 622 2 1 26 56 14 42 20 48 5 6 40 58 34 58 28 51 57 63 36 54 25 44 74 62 45 52 38 54 3 2.6 3.67 2.83 2.75 2.8 3.2 1 1 2 3 2 1 50 5 3 2 42 3 1 1 2 2 2 2 2 4 4 3 4 3 4 3 2 1 2 30 2 2 3 3 3 3 3 3 2
"623" 623 1 1 23 52 22 56 32 63 5 6 40 58 41 64 35 60 39 53 50 66 32 52 51 49 59 67 39 56 3.5 2.8 3.33 4 4 3.6 1.4 1 1 2 6 1 1 57 3 5 2 42 3 1 1 1 2 1 1 2 3 2 2 4 3 4 2 2 1 2 70 1 2 3 3 3 3 3 3 7
"624" 624 2 1 24 54 22 56 26 55 7 8 41 59 38 62 34 59 45 56 42 59 30 50 66 57 49 56 37 53 3.5 3.4 4 4 4 4 1 1 1 2 5 1 1 9 4 3 2 42 2 1 2 2 2 2 2 2 4 3 3 3 3 3 2 2 3 3 100 2 2 3 3 3 3 3 3 7
"625" 625 1 1 21 50 20 53 19 47 4 4 36 55 30 54 30 53 47 57 38 57 32 52 67 58 42 50 44 63 3.17 2.8 3 2.5 3 2.5 2.2 1.75 1 2 4 1 1 8 5 3 2 42 2 2 3 2 2 2 3 2 4 3 1 3 4 4 3 1 4 2 50 2 1 3 3 3 3 3 3 7
"626" 626 2 1 20 48 14 43 24 53 4 8 28 48 21 43 20 42 35 50 29 48 24 43 46 45 38 46 29 44 3 2.2 4 2.5 2.75 2.2 2.6 1 1 2 4 1 1 18 3 3 2 42 2 1 3 1 1 1 1 1 4 3 4 3 4 3 3 2 2 4 50 2 1 3 3 3 3 3 3 7
"627" 627 1 1 16 42 12 39 28 58 4 7 28 47 20 43 32 56 30 45 23 41 34 55 62 55 36 43 38 54 3.67 3 3.67 3.33 4 4 1.6 2 1 2 6 1 2 0 3 3 2 42 2 1 2 2 1 1 2 1 3 4 3 3 4 3 3 3 3 4 200 1 1 3 3 3 3 3 3 5
"628" 628 1 1 22 50 13 41 16 42 6 4 31 51 32 56 26 49 41 54 33 52 27 46 61 54 51 58 33 48 4 4 3.67 2.33 3.25 3 1.2 2.5 2 2 3 2 1 45 2 2 2 42 3 1 2 1 1 2 2 2 4 4 3 4 4 4 4 3 3 1 200 1 2 3 3 3 3 3 3 7
"629" 629 2 1 25 54 19 52 14 40 7 8 36 55 25 49 20 42 33 48 31 49 20 38 59 53 43 51 36 52 3 3 3 3.83 3.25 3.4 2.2 1 1 2 4 3 1 50 3 3 2 42 3 1 2 2 2 2 2 2 3 2 1 4 4 2 2 2 2 2 50 1 2 3 3 3 3 3 3 2
"630" 630 2 2 16 42 15 45 14 39 6 7 28 47 21 44 25 49 29 44 30 49 33 53 60 54 42 49 39 56 3.5 3.2 4 3.33 3.25 3.8 2 2 2 2 5 1 1 0 4 3 2 42 3 1 2 2 2 2 3 2 6 3 3 4 3 4 4 4 3 3 20 1 1 2 3 3 3 3 3 3
"631" 631 1 1 27 57 24 59 15 41 8 7 38 57 32 55 26 50 46 57 35 53 29 49 78 65 52 59 38 54 3.5 3.2 3.67 3 3.5 2.75 1.2 2 2 2 5 1 1 0 5 3 2 42 2 1 4 2 2 2 2 2 4 4 3 4 3 4 3 3 3 4 50 1 1 3 3 3 3 3 3 5
"632" 632 2 1 29 60 25 59 20 49 8 6 36 55 32 56 23 46 53 61 36 55 30 50 73 61 46 53 34 49 2.83 3 3 3.33 3.5 3.2 1 1.25 1 2 3 2 1 53 3 3 2 42 2 1 2 2 3 3 2 3 4 3 3 2 4 3 3 2 2 2 25 2 2 3 3 3 3 3 3 5
"633" 633 1 1 29 59 20 53 30 60 4 8 26 45 24 48 34 58 37 51 32 51 37 58 61 54 49 56 40 56 3.83 2.8 4 3 3 3 2 1.75 1 2 4 1 1 15 3 3 2 42 2 2 3 2 3 3 3 3 4 3 2 2 3 2 2 3 2 1 40 2 2 3 3 3 3 3 3 5
"634" 634 1 2 26 55 30 63 23 52 7 7 36 55 38 61 27 51 41 54 45 62 30 49 57 52 51 58 43 62 3 2.4 3.67 4 4 4 1.4 2.5 1 2 8 1 1 40 5 4 2 42 2 1 1 1 2 1 1 1 4 4 3 3 4 4 3 4 4 4 50 1 2 2 2 1 2 3 2 2
"635" 635 1 1 13 36 16 47 14 40 6 6 21 37 23 47 17 38 23 36 29 47 20 38 47 46 39 46 29 43 2.83 3 3 2.5 2.75 2.6 2.2 2.5 1 2 5 1 1 15 3 3 2 42 2 1 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 45 1 1 3 3 3 2 3 3 7
"636" 636 2 3 21 49 22 55 14 39 8 6 24 42 33 57 17 38 32 47 35 53 20 38 43 43 53 60 33 48 2.5 1.4 3.67 3.83 3.25 4 1.4 1.25 1 2 5 1 1 55 5 3 1 42 3 1 2 2 3 2 2 2 4 2 2 3 2 2 2 3 2 3 40 2 2 2 3 3 3 3 3 2
"637" 637 2 1 33 63 29 63 24 53 8 8 46 62 45 67 34 59 41 54 51 67 39 60 54 50 55 62 44 64 3.33 2.8 4 3.33 3.75 3.4 1 1.25 1 2 5 1 1 15 4 3 2 42 3 1 3 1 2 1 2 2 3 2 3 2 4 3 2 2 3 2 20 2 1 3 3 3 3 3 3 2
"638" 638 2 1 32 62 21 55 27 56 6 6 51 65 32 56 32 56 62 66 33 52 33 54 65 57 40 48 40 57 3.67 3.2 3.67 3.67 3.5 3.2 1.4 1 2 2 4 1 1 0 5 3 2 42 3 1 3 2 2 1 1 2 4 2 2 4 4 4 2 1 1 2 65 1 1 3 3 3 3 3 3 2
"639" 639 1 4 16 42 21 55 19 47 7 6 21 38 30 54 31 56 26 39 34 53 30 50 49 47 48 55 32 48 3 2.2 3.67 2 2.75 2 1.6 2.5 2 2 6 1 1 0 4 3 2 42 2 1 2 2 2 2 2 2 6 3 3 2 1 4 2 2 2 4 50 1 2 2 3 3 2 2 2 4
"640" 640 1 1 20 48 19 51 17 45 5 5 32 52 38 62 23 46 33 48 35 53 26 45 75 62 51 58 34 50 3.83 2.8 2.67 2 3.5 3 1 3 1 2 6 1 1 8 3 3 2 42 2 1 3 1 2 2 1 2 5 3 3 3 3 4 3 4 2 3 40 2 1 3 3 3 3 3 3 7
"641" 641 2 1 35 65 28 62 34 65 9 8 69 74 49 71 32 56 78 74 51 67 38 60 80 66 53 60 44 63 3.5 2 3 4 4 3.8 1 1 1 2 5 1 1 14 4 2 2 42 2 1 1 1 1 1 1 1 4 3 2 4 2 3 3 2 3 3 110 1 1 2 3 3 2 3 3 7
"642" 642 1 1 18 45 13 41 22 51 4 6 26 44 25 49 30 54 26 40 25 44 31 51 51 48 40 48 39 55 2.5 3.2 2.33 3 2.75 2.4 2 1.75 1 2 4 1 1 9 5 3 2 42 3 1 3 1 2 1 1 1 3 3 1 3 3 3 1 3 2 2 30 2 2 3 3 3 3 3 3 7
"643" 643 2 1 14 39 9 30 32 62 4 6 24 42 20 43 35 60 29 43 25 43 43 67 27 27 30 38 44 63 3.33 3.2 3.33 2 2.25 1.8 2.2 1 2 2 6 1 1 0 4 2 2 42 3 1 4 2 3 3 4 2 4 3 3 2 4 3 2 3 2 1 150 2 1 3 3 3 3 3 3 7
"644" 644 1 3 15 41 16 46 31 61 6 8 21 38 19 40 32 56 32 47 26 44 33 54 65 56 42 50 35 51 2.17 2.4 2.33 2.17 2 1.6 3.8 2.33 1 2 4 1 1 20 3 3 2 42 3 1 3 2 1 1 3 1 2 2 2 3 3 3 3 3 3 3 30 2 2 3 3 3 3 3 3 7
"645" 645 1 1 15 41 22 56 31 62 9 8 30 49 36 60 36 61 28 42 38 56 37 59 50 48 50 57 39 56 3.5 3 4 3 3 3 1.2 1.25 1 1 4 1 1 9 3 3 2 42 3 1 2 1 3 1 3 1 5 3 3 2 1 3 3 3 2 4 20 1 1 3 3 3 3 3 3 6
"646" 646 2 3 27 57 22 56 20 48 7 7 49 64 25 49 33 57 64 67 29 48 34 55 74 62 36 44 45 66 2.67 2.6 3.33 2 2 2.2 2.2 1.5 1 2 5 1 1 50 3 3 2 42 2 2 3 2 3 3 3 1 5 4 4 4 3 3 4 3 3 3 50 2 1 2 3 3 3 3 3 4
"647" 647 2 7 16 42 20 52 26 55 8 7 32 52 30 54 38 64 28 42 32 51 38 60 49 48 47 55 44 63 3.33 3 3 4 4 4 1 1.75 1 2 4 1 1 4 5 3 2 42 2 1 2 2 1 2 2 2 4 4 4 2 4 2 2 3 2 2 200 2 1 2 3 3 3 3 3 6
"648" 648 1 1 14 38 14 42 16 43 5 7 28 47 27 51 23 46 34 49 28 47 31 51 46 45 43 50 32 47 3.67 3.2 4 3.67 3 3.4 1.8 1.25 2 2 3 2 1 0 4 2 2 42 2 1 2 1 2 1 3 1 3 4 3 4 2 4 2 2 4 3 150 2 1 2 3 3 3 3 3 2
"649" 649 1 1 13 35 20 52 16 43 6 7 22 39 21 45 24 47 30 44 27 46 26 45 51 49 42 50 31 46 2.83 3.4 3.33 2.5 3 3 3 2.25 1 2 5 1 1 9 3 3 2 42 2 1 3 2 3 3 3 2 2 4 4 4 2 4 3 2 3 4 200 1 1 3 3 3 3 3 3 5
"650" 650 1 4 22 51 18 50 26 55 3 6 30 49 26 50 31 55 40 54 35 54 37 58 63 56 42 50 39 55 3.83 3 3.67 3 3 3 2 2 1 2 6 1 1 15 4 3 2 42 2 1 1 1 1 1 1 1 6 4 3 4 4 4 3 3 3 4 50 1 2 3 3 3 3 3 3 2
"651" 651 2 3 16 41 13 41 22 51 2 4 30 50 23 46 26 49 30 45 32 50 30 49 43 44 42 50 28 42 3 2.6 3.33 2.83 3.25 3 1.2 1.5 2 2 6 1 1 40 4 4 2 42 3 1 3 3 2 2 3 3 4 3 3 3 3 4 3 3 3 3 25 1 1 3 3 3 3 3 3 4
"652" 652 2 2 12 30 9 32 10 30 2 1 20 37 15 34 16 36 27 41 15 29 17 33 31 32 21 26 28 42 3.33 2.8 3 2.17 2 1.8 3.6 2 1 2 7 1 1 0 5 3 2 42 2 1 2 2 2 2 2 2 4 3 2 4 2 4 2 2 1 2 15 1 1 2 3 3 3 3 3 7
"653" 653 2 3 25 55 28 62 23 52 5 8 36 55 35 58 30 54 36 50 40 58 33 53 56 52 47 55 39 55 3.33 3.4 4 4 3.75 4 1 1 1 2 4 1 1 9 3 3 2 42 2 1 2 2 2 2 3 2 4 4 4 3 3 4 4 3 3 3 150 1 1 3 3 3 3 3 3 4
"654" 654 1 2 14 38 8 29 12 37 1 5 14 26 11 24 16 37 15 23 13 25 18 35 22 21 17 19 21 35 3 2.4 3 2.33 3 2.4 2.4 1 1 1 7 1 1 95 4 4 2 42 3 1 1 3 3 2 2 2 4 2 1 4 3 4 4 2 2 4 40 2 1 2 1 1 3 3 1 5
"655" 655 1 4 14 38 9 33 18 45 5 6 17 32 13 31 22 45 17 26 17 32 26 46 22 20 23 29 27 42 3.67 3.4 4 2.83 3 3 1.2 1 1 2 5 1 2 0 5 3 1 42 2 1 2 2 2 2 2 2 4 3 4 3 2 4 4 3 3 3 10 1 2 2 3 3 3 3 3 2
"656" 656 2 5 20 49 19 51 14 39 7 8 28 47 27 51 17 38 33 48 29 48 24 42 65 56 45 53 27 42 2.5 2.8 3.33 2.33 3 2.2 1 2.75 2 2 9 1 1 24 3 3 1 42 2 1 2 2 2 2 2 2 4 2 1 4 2 1 2 1 1 2 10 1 2 2 3 3 3 3 3 5
"657" 657 2 1 20 47 19 52 23 52 9 8 29 49 33 57 30 54 38 52 37 55 36 57 50 48 47 54 39 55 2.67 3.4 3.33 3 3 2.8 1.2 1 2 2 3 2 1 17 3 5 2 42 3 1 2 1 2 1 2 2 4 3 2 4 2 4 2 1 1 2 100 2 1 2 3 3 3 3 3 7
"658" 658 1 1 25 55 25 59 36 67 6 4 37 56 35 59 39 64 43 55 43 60 42 66 65 56 49 56 46 68 2.67 3.2 2.67 1.83 2 2 2.4 2 1 2 3 2 1 40 3 3 2 42 3 2 4 2 2 1 3 1 5 3 3 1 1 4 3 4 2 2 40 1 1 2 3 3 3 3 3 2
"659" 659 2 3 26 56 29 63 22 50 9 4 39 57 40 63 28 51 46 57 42 60 35 56 73 61 58 66 39 55 3.17 3.8 3 4 4 3.6 1.2 1 1 2 4 1 1 30 1 6 2 42 3 2 3 2 1 1 1 1 6 3 2 2 1 4 4 2 1 2 50 1 2 2 3 3 2 2 3 4
"660" 660 2 1 39 68 28 62 29 59 8 5 44 61 28 52 30 54 48 58 36 55 34 54 54 50 42 50 38 54 3.67 2.8 2.67 3.83 3.75 3.8 1 2 1 2 3 2 1 40 3 3 2 42 2 2 1 1 2 1 1 1 5 4 4 4 4 4 3 3 3 3 100 1 2 2 3 3 3 3 2 0
"661" 661 2 4 15 39 15 45 12 36 5 8 32 52 29 53 14 33 38 52 33 52 20 37 51 48 46 53 25 39 3.67 2.8 4 3.33 3.75 3.5 1 1.5 1 2 6 1 1 23 5 2 2 42 2 1 2 2 2 2 2 2 6 4 4 4 4 4 4 4 2 4 40 1 2 3 3 3 3 3 3 3
"662" 662 1 4 23 53 24 59 15 41 8 6 34 54 30 54 26 50 39 53 38 56 28 47 54 50 51 58 31 46 2.67 3.2 3 2.17 2.75 2.25 1.8 1.5 2 2 3 2 1 0 3 3 2 42 2 1 3 2 1 1 1 2 5 2 2 4 2 4 4 4 4 2 40 1 2 3 3 3 3 3 3 0
"663" 663 2 4 30 60 24 58 12 36 7 7 50 64 30 54 21 43 59 64 38 56 24 43 76 63 43 51 35 51 2.83 3 4 3.17 3.67 3.25 1.4 1 2 2 3 2 1 0 3 3 1 42 2 1 2 2 2 2 2 2 4 4 2 3 3 3 2 3 3 2 45 1 1 3 3 3 3 3 3 2
"664" 664 2 8 28 58 36 69 24 53 7 8 39 58 36 60 31 55 39 53 44 61 31 51 64 56 58 66 37 53 3.33 3 3.67 3.17 2 3 2.8 1.5 2 2 5 1 1 57 5 3 2 42 2 1 3 2 3 2 1 1 3 3 2 4 2 4 3 3 3 2 55 2 1 2 3 3 3 3 3 7
"665" 665 2 7 30 60 35 68 31 61 6 8 49 63 50 71 34 58 50 59 48 65 37 58 58 53 51 58 40 57 3.83 2.8 3 3.83 3.5 4 1.6 1.5 1 2 4 1 1 9 3 4 2 42 3 1 2 1 1 2 2 1 2 3 3 4 3 4 4 2 2 3 100 2 1 2 3 3 3 3 3 5
"666" 666 1 1 24 53 19 51 17 43 4 8 34 53 25 50 19 40 43 55 37 55 18 35 67 58 41 49 29 44 2.17 2.8 3.33 2.33 3.25 3 1.2 1.75 1 2 5 1 1 8 3 4 2 42 3 1 1 1 2 2 2 1 4 3 3 2 3 2 3 1 2 2 50 2 2 3 3 3 3 3 3 2
"667" 667 1 6 14 38 14 42 14 40 3 7 15 29 16 35 16 37 24 37 18 34 15 32 44 44 26 33 22 35 2.5 1.8 2.33 2 2 1.6 3.2 1.75 1 2 6 1 1 40 5 3 2 42 3 1 3 3 3 2 3 2 4 3 3 3 2 3 2 3 3 2 100 1 1 3 3 3 3 3 3 2
"668" 668 1 6 21 50 24 58 10 32 5 6 32 51 24 48 18 39 32 46 27 46 23 42 59 53 38 45 26 40 2 3 2.33 2.17 2 2 3 2 1 2 3 2 1 20 3 3 2 42 3 1 2 2 3 2 2 2 4 4 2 3 2 3 2 3 2 4 30 1 1 3 3 2 3 3 3 4
"669" 669 2 3 19 47 14 43 23 53 5 8 23 41 21 44 25 49 30 44 21 39 29 49 49 47 35 43 34 49 2.83 2.8 3 2.5 2.25 2.4 1.6 2 1 1 7 1 1 70 4 3 2 42 2 1 1 1 1 1 1 1 6 3 4 4 3 4 3 1 1 3 40 2 2 3 3 3 3 3 3 5
"670" 670 1 1 22 51 17 49 33 63 4 6 31 51 28 52 37 63 35 49 43 60 36 58 51 48 45 52 44 64 2.33 2.8 2.33 3.5 3.25 2.6 2 1.25 2 2 5 1 1 0 3 5 2 42 2 1 2 2 2 3 2 2 4 4 4 4 3 1 2 2 3 4 30 1 1 2 3 3 3 3 3 1
"671" 671 2 1 23 52 25 59 20 49 8 8 36 56 34 58 29 53 51 60 48 64 33 53 77 64 53 60 40 58 3.33 2.6 4 4 4 4 1 1.5 2 2 5 1 1 0 3 3 2 42 3 2 3 1 1 1 1 1 3 2 2 4 2 3 2 3 1 3 100 1 2 2 3 3 3 3 3 7
"672" 672 1 1 16 41 16 47 21 49 4 7 34 53 23 46 24 47 30 45 27 45 35 55 29 30 43 51 38 55 3.67 3 3.33 3.83 3.75 4 1.2 1.67 1 1 5 1 1 27 3 5 2 42 3 1 4 2 3 2 4 2 4 4 3 4 3 4 4 2 4 4 200 1 2 3 3 3 3 3 3 5
"673" 673 1 1 25 55 22 55 22 51 8 6 36 55 31 55 30 53 37 52 37 55 35 55 30 31 42 50 36 52 3.33 2.8 3.33 3 3.5 3.8 1.2 2.25 1 2 4 1 1 8 3 3 2 42 2 1 3 2 2 1 3 2 2 3 2 3 2 3 2 2 3 2 100 1 2 3 3 3 3 3 3 7
"674" 674 1 1 14 38 16 46 20 49 6 2 33 52 24 48 25 48 36 50 31 50 26 46 46 45 30 37 27 42 2.67 1.6 3 2.5 2 2 2.4 2 1 1 4 1 2 45 3 4 2 42 2 1 1 3 1 1 2 1 2 4 2 2 4 4 3 1 3 4 75 1 1 3 3 3 3 3 3 7
"675" 675 2 1 21 49 14 43 26 56 7 8 28 47 18 39 29 53 34 49 22 40 35 56 39 41 21 26 35 50 3.33 2.8 3.33 3 3.25 2.8 1 1.5 1 2 4 1 1 12 5 2 2 42 3 1 3 2 3 2 2 1 4 4 3 4 2 4 3 3 2 2 100 1 2 2 3 3 3 3 3 2
"676" 676 2 1 25 55 18 50 21 49 8 6 34 54 26 50 28 52 38 52 32 51 37 58 60 54 41 48 35 50 2.67 3.2 2.67 3 3.5 2.75 1 1.5 1 2 4 1 1 44 3 4 2 42 3 2 3 2 3 1 3 3 4 3 3 4 3 2 3 2 3 2 200 2 2 3 3 3 3 3 3 7
"677" 677 1 1 30 60 24 58 21 50 7 8 31 51 31 55 26 49 36 51 25 44 32 52 50 48 37 45 32 47 3.33 3.2 3.67 3.67 3.75 3.6 1.6 1.25 1 2 4 1 1 9 3 3 2 42 2 1 1 3 2 2 1 2 5 4 2 2 4 2 3 2 3 4 50 1 1 3 3 3 3 3 3 7
"678" 678 1 1 15 41 14 42 30 61 3 6 32 52 23 47 29 53 37 51 27 46 33 54 71 60 32 39 39 56 3.5 3.2 2.67 2.5 3.75 3 2 2.25 2 1 5 1 1 0 3 5 2 42 3 1 3 2 1 2 3 2 6 3 2 2 2 4 2 1 2 2 9 2 1 1 3 3 3 3 3 2
"679" 679 2 1 15 40 12 40 14 40 5 3 19 36 19 41 24 47 27 41 23 41 27 46 38 40 34 42 30 45 3 3.2 4 2.5 2.75 2.8 1.6 1.25 1 2 5 1 1 57 5 3 2 42 3 1 3 2 3 2 3 2 3 4 2 4 3 4 4 2 2 1 100 1 2 2 2 3 3 3 3 4
"680" 680 2 1 16 42 25 59 19 47 9 8 32 51 40 64 28 51 34 49 38 56 30 50 51 48 51 57 36 52 3.5 2.6 3.33 3.33 3.5 3 1.2 1 2 2 4 2 1 40 3 3 2 42 3 1 3 1 1 1 2 1 4 3 2 2 2 4 4 2 1 2 50 2 1 3 2 3 3 3 2 1
"681" 681 2 1 21 50 16 46 25 54 4 2 31 51 22 45 27 51 31 46 27 45 30 50 42 43 32 40 36 51 3.17 2.2 3.33 2.5 3.75 3.6 1 1.5 1 2 7 1 1 9 2 3 2 42 3 1 2 1 2 1 2 1 4 2 2 2 4 4 3 1 2 1 60 1 2 3 3 3 3 3 3 3
"682" 682 1 1 27 57 28 62 25 54 9 7 39 58 36 60 18 39 51 60 44 62 29 48 63 56 49 56 37 53 3.33 3.6 3.33 4 3.67 3.8 1 1.25 1 1 4 1 1 30 3 3 2 42 2 1 1 2 2 2 2 1 5 3 2 3 4 3 2 1 3 2 60 2 2 3 3 3 3 3 3 0
"683" 683 2 1 16 43 14 42 15 41 5 6 20 37 24 48 17 37 30 44 24 43 20 38 64 56 38 45 28 42 2.67 2.2 2.67 3.67 3.5 3 1 1.75 2 2 5 1 1 0 5 2 2 42 3 1 4 2 2 2 3 1 3 3 1 2 2 2 1 1 1 2 50 2 2 3 3 3 3 3 3 7
"684" 684 2 1 23 52 37 70 29 59 9 8 39 58 49 71 33 57 43 55 51 67 41 64 64 56 61 71 42 61 3.33 3.2 3.67 3.83 3.5 3.2 1.2 2 2 2 4 1 1 0 3 5 2 42 2 1 3 1 2 2 3 1 4 3 3 4 3 3 3 3 2 3 200 2 1 3 3 3 3 3 3 4
"685" 685 1 1 21 49 15 44 25 54 5 6 27 46 24 48 24 47 30 44 25 44 27 47 47 46 42 50 36 51 2.67 2.8 3.67 2.67 3.75 3.6 1 2 2 2 4 1 1 8 5 3 2 42 2 1 2 1 1 1 1 1 4 4 4 4 2 4 3 2 2 4 100 1 1 3 3 3 3 3 3 7
"686" 686 2 8 24 54 23 57 30 61 8 8 31 50 34 58 34 59 36 50 35 53 34 55 59 53 50 57 41 59 4 2.6 3.67 3.5 4 4 1 1 1 2 4 1 1 9 3 3 2 42 3 1 2 1 1 1 2 1 2 4 4 2 2 4 4 1 2 2 200 2 1 2 3 2 2 2 2 0
"687" 687 2 1 20 48 17 48 22 51 4 6 23 41 20 43 31 55 26 40 22 40 34 54 49 48 43 51 38 54 2.83 2.4 2.67 3.83 3.25 3.2 1 1.25 2 1 4 1 1 0 2 5 2 42 2 1 3 1 2 1 2 2 2 3 2 4 3 4 4 2 3 4 40 2 2 2 2 3 3 3 3 7
"688" 688 1 1 16 41 12 40 12 37 6 7 21 38 17 37 17 37 22 35 19 35 22 40 58 53 35 42 26 41 3.33 2.4 3.33 3.17 3.25 2.6 1.8 1.5 2 2 4 1 1 0 4 4 2 42 3 1 2 1 3 1 2 1 3 3 2 4 2 4 3 4 4 4 25 2 2 3 3 3 3 3 3 4
"689" 689 1 1 14 37 9 32 19 47 9 6 21 38 19 41 26 49 31 45 24 43 23 41 52 49 39 47 39 56 3.33 3 4 2.5 3.25 2.8 2.8 2.75 2 2 5 1 1 0 4 3 2 42 3 1 1 2 2 2 2 1 3 2 2 2 2 4 2 3 2 4 50 1 2 3 3 3 3 3 3 7
"690" 690 1 2 22 51 15 44 17 44 2 5 33 52 24 48 25 48 37 51 26 44 33 54 48 47 37 45 38 55 3 3.8 3.33 3 3.5 3.6 2 1 1 2 3 5 2 25 5 5 2 42 2 1 2 2 3 2 4 3 5 4 4 2 4 4 2 4 2 3 100 1 2 3 3 3 3 3 3 2
"691" 691 2 1 35 65 25 60 18 45 9 6 39 57 38 61 22 44 45 57 40 58 24 43 65 57 47 55 36 52 3.67 3.6 3.67 3.17 3.5 3.2 1.4 2 1 2 4 1 1 28 3 4 2 42 2 1 4 2 2 1 2 2 3 2 4 2 4 1 2 2 1 1 50 1 1 3 3 3 3 3 3 2
"692" 692 1 6 20 48 13 42 18 46 2 2 27 46 26 51 28 51 29 43 24 42 29 49 54 50 40 48 37 52 3.67 1.8 4 2.17 2.25 2.75 2.4 1.5 1 2 4 1 1 60 5 3 2 43 3 1 4 2 4 2 5 2 5 3 3 3 3 4 4 3 3 3 50 1 1 3 3 3 3 3 3 1
"693" 693 1 1 21 49 20 53 28 58 5 6 23 41 22 46 27 50 26 39 33 51 33 54 48 47 49 56 42 60 3.17 2.6 3 3.83 3.75 3.25 1 1.25 2 2 4 1 1 9 3 3 2 43 3 1 3 2 2 2 2 3 4 4 4 3 4 3 3 2 2 4 100 1 2 3 3 3 3 3 3 0
