"caseid" "gender" "race" "c1rrscal" "c1rrtsco" "c1rmscal" "c1rmtsco" "c1rgscal" "c1rgtsco" "c1fmotor" "c1gmotor" "c2rrscal" "c2rrtsco" "c2rmscal" "c2rmtsco" "c2rgscal" "c2rgtsco" "c3rrscal" "c3rrtsco" "c3rmscal" "c3rmtsco" "c3rgscal" "c3rgtsco" "c4rrscal" "c4rrtsco" "c4rmscal" "c4rmtsco" "c4rgscal" "c4rgtsco" "p1learn" "p1contro" "p1social" "t1learn" "t1contro" "t1interp" "t1extern" "t1intern" "p1center" "p1disabl" "p1htotal" "p1hfamil" "p1firkdg" "p1hrsprk" "wkmomed" "wkdaded" "wklangst" "wksesl" "wksesq5" "s2kpupri" "p1count" "plshare" "p1pencil" "p1still" "p1letter" "p1verbal" "p1expect" "p1readbo" "p1tellst" "p1singso" "p1helpar" "p1chores" "p1games" "p1nature" "p1build" "p1sport" "p1chlboo" "p1chsesa" "p2librar" "p2safepl" "p2garbag" "p2drug" "p2burglr" "p2violen" "p2vacant" "p2bktog"
"17" 17 2 2 16 41 18 50 19 47 6 7 22 39 22 46 22 44 36 50 38 56 25 44 54 50 46 53 33 49 3.67 3.2 3.33 4 3.75 3.6 1 2.33 1 2 7 1 1 39 2 3 2 34 1 1 3 2 2 2 2 2 6 3 2 2 4 2 2 1 2 2 5 1 2 2 2 2 2 2 1 7
"18" 18 2 1 23 52 22 55 21 49 5 2 51 64 35 59 29 52 68 69 35 54 36 56 74 62 42 50 34 49 3.33 2 3 3.5 4 2.8 1.4 1.75 2 2 4 1 1 0 1 2 2 34 1 1 2 2 3 3 2 2 4 4 2 2 3 2 1 2 1 2 50 2 2 3 1 2 3 3 3 7
"19" 19 2 7 13 34 11 36 10 32 5 6 16 31 16 36 12 31 20 31 19 35 11 23 28 29 29 37 25 39 3 3 3.67 3.5 2.5 2.25 2 2 1 1 7 5 1 15 1 3 2 34 1 1 2 2 2 2 2 2 2 3 3 1 3 3 3 3 1 2 6 1 1 2 3 3 3 3 3 7
"20" 20 1 7 13 35 15 45 12 36 4 6 27 46 17 37 17 38 28 42 22 40 18 35 30 31 33 41 21 34 2.67 2.6 2.67 2.83 3.25 3 1.8 2 1 2 6 1 1 6 2 3 2 34 1 1 3 2 2 2 2 2 4 2 2 1 2 4 2 1 2 2 10 1 2 3 3 3 3 3 3 3
"21" 21 1 7 19 47 18 49 12 35 5 8 35 54 24 49 21 43 31 46 23 41 20 38 56 52 44 52 28 43 3.17 2.4 3.67 2.83 2.5 2.8 2.2 1.33 1 1 6 1 1 20 2 3 2 34 1 1 2 2 2 2 3 2 2 4 2 2 3 3 3 2 4 2 40 1 2 3 3 3 3 3 3 7
"22" 22 2 4 15 39 13 41 15 40 2 4 28 48 24 48 18 39 32 47 24 43 19 37 41 42 41 48 20 34 3.17 3 2.33 1.83 2.5 1.5 1 2.5 1 2 6 1 1 4 1 2 2 34 1 1 2 2 2 2 2 2 6 2 2 2 2 4 4 2 3 3 60 1 1 2 3 3 3 3 3 0
"23" 23 1 1 14 38 15 44 27 56 8 8 16 29 28 52 27 50 19 30 33 51 34 55 54 51 49 56 38 54 3.83 3.2 4 3 2.5 2 2.6 1.25 1 1 6 3 1 4 1 2 2 34 1 1 2 1 1 1 2 1 6 4 3 4 4 4 3 3 3 4 50 1 2 3 3 3 3 3 3 7
"24" 24 2 1 12 33 9 30 15 41 4 6 14 26 13 29 19 41 18 27 15 28 23 41 32 34 23 29 33 48 2.67 1.4 3.33 3 3.25 2.4 2 2 1 2 3 2 1 9 3 1 2 34 1 1 3 2 3 3 4 2 2 4 2 2 1 2 2 1 2 2 20 2 2 2 3 3 3 3 3 1
"25" 25 2 1 24 53 29 63 29 59 7 8 47 62 33 57 34 59 44 56 37 55 35 55 68 58 41 48 41 59 3.67 3.8 4 3.67 3.5 3.4 1 1 2 2 4 3 1 0 3 2 2 35 1 1 2 2 2 2 2 2 4 2 2 4 2 4 4 1 4 2 200 2 2 2 3 3 3 3 3 4
"26" 26 2 1 12 31 9 32 10 32 1 5 28 47 14 32 12 30 25 39 12 21 12 26 38 40 31 38 28 43 3.17 2.2 4 2.33 3.5 3.2 1 2.75 1 2 5 1 1 15 2 2 2 35 1 1 3 2 3 2 2 2 2 4 1 1 3 3 1 1 1 1 200 2 2 3 3 3 3 3 3 7
"27" 27 1 1 14 37 15 44 15 41 6 3 21 39 16 35 20 42 27 41 20 38 19 37 39 41 33 41 28 43 2.83 2.6 3 1.67 1.5 1.8 3.6 2.5 2 1 6 4 1 0 2 2 2 35 1 1 3 2 3 2 2 2 2 2 2 1 2 1 2 1 1 2 5 1 1 2 2 2 3 3 3 2
"28" 28 2 2 16 42 22 56 29 59 8 7 25 43 33 57 33 58 32 47 39 57 32 53 55 51 47 55 42 59 2.5 2 2.67 3.67 3.25 3 1 1 1 2 4 1 1 40 5 5 2 35 1 1 2 2 2 2 2 2 3 2 2 4 4 4 4 2 4 2 100 1 1 3 3 3 3 3 3 7
"29" 29 1 1 14 37 11 37 9 29 3 3 18 33 16 37 16 37 17 26 14 26 20 38 21 18 25 32 22 35 2 1.6 4 1.5 2 1.6 2.6 1 1 1 5 1 1 20 1 3 2 35 1 1 1 1 1 1 2 1 4 2 2 2 3 3 2 1 2 3 20 2 2 3 3 3 3 3 3 1
"30" 30 2 2 12 30 12 39 11 34 7 8 16 30 15 33 14 34 24 38 25 44 22 41 33 35 20 25 22 36 3 2.8 3.67 4 4 4 1 1 2 2 6 3 1 40 2 2 2 35 1 1 2 2 2 2 2 2 3 4 3 4 2 4 4 4 4 2 55 1 2 2 3 2 3 3 3 3
"31" 31 1 3 20 48 24 58 23 52 6 7 33 53 37 61 30 54 39 53 38 56 37 58 53 50 48 56 39 55 2.5 2.8 2.67 3.67 3.5 3.4 1 2 2 2 6 1 1 0 2 3 2 35 1 1 2 2 2 3 3 2 5 3 2 2 2 4 2 2 1 2 5 2 1 2 3 2 2 3 3 7
"32" 32 1 4 13 36 14 42 14 40 4 5 16 29 21 44 19 41 28 42 27 45 23 41 39 40 41 48 32 47 3.17 2.6 4 3.5 2.75 2.6 2.2 2 1 2 5 1 1 15 2 1 2 35 1 1 2 1 1 2 1 2 2 2 3 2 3 4 3 2 3 3 21 1 1 3 3 3 2 3 3 3
"33" 33 2 7 13 36 9 30 14 39 5 4 28 47 23 47 17 38 28 42 30 48 19 36 45 45 43 51 32 47 3.67 3.2 4 2.17 2.5 2.2 2.8 2.25 1 2 7 1 1 20 3 2 2 35 1 1 2 2 2 2 2 2 2 2 2 2 4 4 2 2 2 4 10 1 2 3 3 3 3 3 3 7
"34" 34 1 5 20 49 11 37 13 38 6 6 34 53 23 47 23 46 35 50 38 56 23 42 49 48 50 57 31 46 2.83 2.8 2.67 2.67 2.25 3.2 2.6 1.25 1 2 4 1 1 8 5 6 1 35 1 1 2 2 3 2 2 3 4 3 2 2 2 4 2 2 2 3 25 2 2 2 3 3 3 3 3 6
"35" 35 2 1 18 44 15 45 26 56 7 8 39 58 42 65 27 51 41 54 41 58 28 47 49 48 52 59 41 58 3.17 2 2.33 2 2.25 2.2 2 2 1 2 6 1 1 20 6 5 2 35 1 1 3 2 2 1 3 1 4 4 2 3 3 4 3 2 2 3 100 2 2 3 3 3 3 3 3 7
"36" 36 2 1 17 44 12 40 18 46 4 6 27 46 14 32 21 44 27 41 19 35 22 41 37 39 22 28 27 41 2.83 1.4 3.33 2.67 2.25 2.25 2.2 2 1 1 5 1 1 16 2 2 2 35 1 1 3 2 2 1 3 3 2 4 3 4 2 1 3 2 2 4 40 2 2 2 2 3 3 3 3 0
