,caseid,gender,race,c1rrscal,c1rrttsco,c1rmscal,c1rmtsco,c1rgscal,c1rgtsco,c1fmotor,c1gmotor,c2rrscal,c2rrtsco,c2rmscal,c2rmtsco,c2rgscal,c2rgtsco,c3rrscal,c3rrtsco,c3rmscal,c3rmtsco,c3rgscal,c3rgtsco,c4rrscal,c4rrtsco,c4rmscal,c4rmtsco,c4rgscal,c4rgtsco,p1learn,p1contro,p1social,t1learn,t1contro,t1interp,t1extern,t1intern,p1center,p1disabl,p1htotal,p1hfamil,p1firkdg,p1hrsprk,wkmomed,wkdaded,wklangst,wksesl,wksesq5,s2kpupri,p1count,lower.az1.,p1pencil,p1still,p1letter,p1verbal,p1expect,p1readbo,p1tellst,p1singso,p1helpar,p1chores,p1games,p1nature,p1build,p1sport,p1chlboo,p1chsesa,p2librar,p2safepl,p2garbag,p2drug,p2burglr,p2violen,p2vacant,p2bktog,ses_orig,rv
229,2369,2,1,81,90,38,71,39,71,7,8,67,72,43,66,41,68,86,82,50,66,44,69,86,73,56,63,47,70,3.5,3.4,3.33,3.67,4,3.2,1,2.75,1,2,4,1,1,7,7,6,2,59,5,1,1,2,1,1,2,2,5,4,3,3,3,2,3,3,2,3,80,1,1,3,3,3,3,3,3,7,1.37,0.74
230,1910,2,1,43,70,18,50,26,56,5,5,55,67,41,64,33,57,54,61,43,61,36,57,75,62,54,61,44,64,2.83,3.2,3.33,3.5,3.75,3.6,1,1.25,1,2,4,1,1,12,5,5,2,52,5,1,2,2,2,2,2,1,4,3,3,3,3,3,2,2,2,2,70,2,1,3,3,3,3,3,3,7,0.7,0.62
231,517,1,1,21,49,16,47,14,39,4,6,31,51,24,49,22,45,35,50,26,45,29,49,47,46,36,44,31,46,2.5,2.6,3.67,2.33,3,3,1.6,1,1,2,4,1,1,40,2,2,2,41,2,1,2,1,3,1,1,1,3,3,3,2,2,1,3,1,2,2,100,2,2,3,3,3,3,3,3,7,-0.45,0.61
232,743,2,1,21,50,18,49,24,53,3,8,30,50,22,46,19,40,37,51,28,46,32,53,61,54,41,49,32,47,3.17,3.6,3.67,3,3.5,3.5,1,2,1,2,4,1,1,9,4,3,2,43,3,1,1,2,1,1,1,3,4,2,1,2,1,2,2,1,1,2,30,1,2,3,3,3,3,3,3,1,-0.18,0.56
233,620,1,3,19,46,25,59,21,49,9,6,39,58,37,60,31,55,40,53,40,58,30,49,65,57,50,57,41,58,3.33,2.8,2.67,1.67,1.75,2.2,1,1.25,1,2,6,2,1,88,3,3,2,42,2,1,3,2,3,2,2,2,4,2,4,3,3,3,4,4,2,4,100,1,2,3,3,3,3,3,3,2,-0.34,0.05
234,1224,2,1,20,48,17,47,20,48,6,7,29,48,24,48,27,51,39,53,31,49,27,46,57,52,41,49,27,42,2.17,2.4,2.67,2.33,2.33,2.6,2,1.25,1,1,6,5,1,80,5,5,2,46,3,1,3,2,3,2,3,2,4,2,2,2,2,1,2,3,2,2,50,1,2,3,3,3,3,3,3,5,0.06,0.21
235,477,1,1,16,41,14,43,23,51,1,6,26,45,19,41,18,40,24,37,19,35,26,46,29,30,25,31,29,44,3.33,3.4,3.33,2.67,3.5,3.4,2.6,2,1,2,3,2,1,54,3,2,2,41,2,1,2,1,1,1,2,1,3,3,3,4,3,4,3,2,3,3,30,1,1,3,3,3,3,3,3,4,-0.44,0.86
236,1530,2,1,31,62,23,57,24,53,8,8,31,51,25,50,34,59,37,51,31,49,34,55,67,58,51,57,36,52,2.67,2.8,3,2.83,2.75,2.5,1.6,2,1,2,3,2,1,50,8,1,1,48,4,1,2,2,2,2,2,2,5,4,4,2,4,3,4,2,2,3,50,1,1,3,3,3,3,3,3,1,0.29,0.31
237,649,1,1,13,35,20,52,16,43,6,7,22,39,21,45,24,47,30,44,27,46,26,45,51,49,42,50,31,46,2.83,3.4,3.33,2.5,3,3,3,2.25,1,2,5,1,1,9,3,3,2,42,2,1,3,2,3,3,3,2,2,4,4,4,2,4,3,2,3,4,200,1,1,3,3,3,3,3,3,5,-0.33,0.24
238,957,1,1,25,55,18,51,30,60,6,8,39,58,34,58,29,53,41,54,32,50,36,58,75,63,52,59,43,63,2.83,2.8,4,2.33,2.25,2.8,2.4,2,1,2,4,1,1,40,5,3,2,44,3,1,2,1,2,2,3,1,4,2,3,4,3,4,3,3,3,3,30,1,1,3,3,3,3,3,3,7,-0.12,0.83
239,1958,1,1,21,49,22,56,30,60,3,4,45,61,33,57,37,62,45,56,39,57,32,53,69,59,53,60,45,65,2.83,3,4,3.5,3.5,3.4,1,2,1,2,5,1,1,6,6,6,2,53,5,2,3,2,3,3,3,2,4,4,3,4,2,4,3,3,3,4,150,2,1,3,3,3,3,3,3,7,0.78,0.24
240,1018,2,1,23,52,14,43,18,45,6,8,33,52,22,46,21,44,37,51,25,44,30,50,62,55,42,49,33,49,3.5,2.6,4,2.33,3.25,2.4,1.6,2,1,2,4,1,1,45,5,3,2,45,3,1,3,2,4,2,2,2,3,4,4,4,4,4,4,2,1,3,100,1,1,3,3,3,3,3,3,2,0.04,0.61
241,594,2,1,20,48,19,51,16,43,6,7,23,41,27,51,22,44,33,48,29,48,32,52,51,48,41,49,39,55,3,3.2,2.67,3,3.25,3.2,1.4,2,1,1,5,1,1,16,5,3,2,42,2,1,1,1,3,1,1,1,3,4,2,2,1,4,3,1,1,2,100,2,1,3,3,3,2,3,3,0,-0.31,0.39
242,2000,2,3,14,37,11,38,24,53,4,7,30,50,21,45,31,55,34,49,32,50,38,60,41,42,33,40,40,57,3.83,2.8,4,2.83,2.25,2.4,2.4,2,1,2,4,2,1,20,5,6,2,53,5,1,2,1,1,1,1,1,5,3,3,3,3,3,3,3,2,3,50,1,1,3,3,3,3,3,3,2,0.83,0.76
243,514,1,1,20,48,17,48,23,52,5,7,21,37,22,46,27,51,29,43,24,42,27,46,40,41,40,48,38,55,2.67,3.2,3.33,3.5,3.67,3.25,1.4,1,2,2,4,1,1,0,3,3,2,41,2,1,1,2,2,1,1,1,5,3,2,2,3,3,2,1,4,2,75,1,2,3,3,3,3,3,3,7,-0.45,0.94
244,436,1,1,19,47,19,52,16,42,7,4,33,53,24,48,20,42,40,54,34,53,20,38,67,58,52,58,31,46,3.33,2.8,3,3.33,3,2.4,1.6,2,2,2,5,1,1,0,3,3,2,41,2,2,2,1,1,2,1,1,2,4,2,2,3,2,3,2,3,3,100,2,1,3,3,3,3,3,3,3,-0.44,0.43
245,51,2,1,25,55,17,48,21,50,7,6,50,64,32,56,29,53,69,69,31,50,32,53,77,64,39,47,41,59,2.67,2.8,3.33,3.83,3.25,3.8,1,1.5,2,2,4,1,1,40,3,3,2,36,1,1,1,2,2,2,2,2,3,3,3,4,2,3,2,2,1,2,30,2,1,3,3,3,3,3,3,7,-0.91,0.56
246,1085,1,1,17,44,17,48,25,55,7,7,34,53,34,58,34,59,41,54,40,58,37,58,61,54,50,57,44,64,2.67,3.6,2.67,3,3.5,3,1.2,2.25,2,2,5,1,1,0,3,3,2,45,3,1,4,2,2,2,3,2,4,4,2,1,2,3,4,3,3,3,50,2,1,3,3,3,3,3,3,7,-0.04,0.53
247,692,1,6,20,48,13,42,18,46,2,2,27,46,26,51,28,51,29,43,24,42,29,49,54,50,40,48,37,52,3.67,1.8,4,2.17,2.25,2.75,2.4,1.5,1,2,4,1,1,60,5,3,2,43,3,1,4,2,4,2,5,2,5,3,3,3,3,4,4,3,3,3,50,1,1,3,3,3,3,3,3,1,-0.22,0.7
248,441,2,1,19,47,15,45,21,49,5,8,23,41,18,40,22,44,31,46,28,46,25,44,46,46,42,50,28,42,3.5,3,2.33,2.83,3.75,2.8,1,1.75,1,2,3,2,1,49,3,2,2,41,2,1,4,2,2,2,3,2,2,3,3,1,1,4,3,1,1,2,50,1,2,3,3,3,3,3,3,4,-0.41,0.64
249,1557,1,1,21,49,19,52,25,54,6,8,38,57,37,60,38,63,46,57,36,54,40,62,72,61,49,56,44,63,2.17,3,3,2.33,3.5,2.6,1,2.5,2,2,3,2,1,15,6,3,2,49,4,2,3,1,1,1,4,1,3,3,3,1,2,2,2,2,2,2,20,2,1,3,3,3,2,3,3,7,0.44,0.31
250,655,1,4,14,38,9,33,18,45,5,6,17,32,13,31,22,45,17,26,17,32,26,46,22,20,23,29,27,42,3.67,3.4,4,2.83,3,3,1.2,1,1,2,5,1,2,0,5,3,1,42,2,1,2,2,2,2,2,2,4,3,4,3,2,4,4,3,3,3,10,1,2,2,3,3,3,3,3,2,-0.33,0.14
